angle_deg,norm_counts,ex,ey
27.9,0.075,8,0.025
28.8,0.0666667,8,0.0333333
29.5,0.0892857,8,0.0399298
30.5,0.0178571,8,0.0126269
31.6,0.0166667,8,0.0166667
31.7,0.0178571,8,0.0178571
32.8,0.025,8,0.0144338
32.9,0.0666667,8,0.0333333
36,0.0384615,8,0.0271964
36.3,0.05,8,0.0288675
37.2,0.025,8,0.0144338
42.2,0.00833333,8,0.00833333
43.9,0.0166667,8,0.0117851
45.4,0.0166667,8,0.0166667
45.5,0.00892857,8,0.00892857
46.1,0.00892857,8,0.00892857
51.9,0.025,8,0.025
52,0.0125,8,0.0125
58.6,0.00833333,8,0.00833333
58.9,0.0333333,8,0.0333333
59.5,0.00833333,8,0.00833333
60.8,0.025,8,0.025
60.9,0.0125,8,0.0125
63.4,0.00666667,8,0.00666667
64.6,0.00431034,8,0.00431034
69.9,0.00840336,8,0.00840336
72,0.0192308,8,0.0192308
74.2,0.00892857,8,0.00892857
74.4,0.00833333,8,0.00833333
74.9,0.0178571,8,0.0178571
77.2,0.00833333,8,0.00833333
82.6,0.012931,8,0.00746574
87.1,0.00833333,8,0.00833333
90,0.00515464,8,0.00364488
91.1,0.05,8,0.05
91.5,0.0166667,8,0.0117851
92.3,0.025,8,0.025
99.7,0.0178571,8,0.0126269
100.6,0.00990099,8,0.00990099
101.4,0.00833333,8,0.00833333
102.8,0.00833333,8,0.00833333
105,0.00833333,8,0.00833333
105.6,0.00833333,8,0.00833333
106.5,0.00892857,8,0.00892857
115.4,0.00431034,8,0.00431034
125.4,0.0166667,8,0.0166667
126,0.00892857,8,0.00892857
128,0.025,8,0.0176777
128.1,0.025,8,0.025
131.8,0.0178571,8,0.0126269
133.2,0.0166667,8,0.0166667
133.5,0.00833333,8,0.00833333
133.9,0.0178571,8,0.0126269
134.6,0.0166667,8,0.0166667
136.1,0.00833333,8,0.00833333
142.8,0.00833333,8,0.00833333
147.1,0.0166667,8,0.0166667
147.2,0.00833333,8,0.00833333
149.5,0.00892857,8,0.00892857
161.9,0.0267857,8,0.0154647
