angle_deg,norm_counts,ex,ey
27.9,0.258333,8,0.046398
28.8,0.216667,8,0.0600925
29.5,0.232143,8,0.0643848
30.2,0.166667,8,0.0745356
30.5,0.0982143,8,0.0296127
31.6,0.0833333,8,0.0372678
31.7,0.214286,8,0.061859
32.8,0.141667,8,0.0343592
32.9,0.183333,8,0.0552771
36,0.0576923,8,0.0333087
36.3,0.35,8,0.0763763
37.2,0.141667,8,0.0343592
42.2,0.141667,8,0.0343592
43.9,0.0833333,8,0.0263523
45.4,0.133333,8,0.0471405
45.5,0.0982143,8,0.0296127
46.1,0.0625,8,0.0236228
46.5,0.0833333,8,0.0263523
46.6,0.025,8,0.025
46.7,0.0875,8,0.0330719
46.8,0.0833333,8,0.0372678
48.2,0.0446429,8,0.0199649
51.9,0.075,8,0.0433013
52,0.025,8,0.0176777
54,0.0357143,8,0.0178571
54.6,0.0166667,8,0.0166667
58.3,0.0535714,8,0.0309295
58.6,0.0666667,8,0.0235702
58.9,0.0666667,8,0.0471405
59.5,0.025,8,0.0144338
60,0.0769231,8,0.0384615
60.5,0.0535714,8,0.0309295
60.6,0.025,8,0.0144338
60.8,0.075,8,0.0433013
60.9,0.0375,8,0.0216506
61,0.0166667,8,0.0166667
62.7,0.0446429,8,0.0199649
63.4,0.02,8,0.011547
64.6,0.0517241,8,0.0149315
69.9,0.0504202,8,0.0205839
72,0.0769231,8,0.0384615
73.5,0.0357143,8,0.0178571
74.2,0.00892857,8,0.00892857
74.4,0.0166667,8,0.0117851
74.9,0.0892857,8,0.0399298
75,0.0166667,8,0.0117851
75.4,0.0166667,8,0.0117851
75.6,0.0333333,8,0.0235702
77.2,0.0333333,8,0.0166667
78.6,0.025,8,0.0144338
79.4,0.049505,8,0.0221393
79.5,0.0526316,8,0.0526316
80.3,0.0446429,8,0.0199649
82.6,0.0344828,8,0.0121915
83.7,0.0666667,8,0.0333333
87.1,0.0416667,8,0.0186339
87.8,0.025,8,0.0176777
88.5,0.025,8,0.0144338
88.9,0.05,8,0.05
90,0.0309278,8,0.0089281
91,0.075,8,0.0433013
91.1,0.05,8,0.05
91.5,0.0416667,8,0.0186339
92.2,0.0375,8,0.0216506
92.3,0.05,8,0.0353553
92.9,0.025,8,0.0144338
96.3,0.0333333,8,0.0235702
97.4,0.0301724,8,0.0114041
99.7,0.0267857,8,0.0154647
100.5,0.0526316,8,0.0526316
100.6,0.029703,8,0.017149
101.4,0.0166667,8,0.0117851
102.8,0.0416667,8,0.0186339
104.4,0.05,8,0.0288675
104.6,0.0416667,8,0.0186339
105,0.0166667,8,0.0117851
105.1,0.0357143,8,0.0252538
105.6,0.025,8,0.0144338
105.8,0.00892857,8,0.00892857
106.5,0.0535714,8,0.0218704
108,0.0192308,8,0.0192308
110.1,0.0420168,8,0.0187905
110.8,0.00833333,8,0.00833333
115.4,0.0215517,8,0.00963822
116.6,0.02,8,0.011547
117.3,0.0446429,8,0.0199649
119.1,0.0375,8,0.0216506
119.2,0.025,8,0.025
119.5,0.0357143,8,0.0252538
120,0.0384615,8,0.0271964
120.5,0.0166667,8,0.0117851
121.1,0.0666667,8,0.0471405
121.4,0.0416667,8,0.0186339
121.7,0.0357143,8,0.0252538
125.4,0.0333333,8,0.0235702
126,0.0714286,8,0.0252538
128,0.0375,8,0.0216506
128.1,0.05,8,0.0353553
129.2,0.05,8,0.0353553
129.3,0.05,8,0.05
131.8,0.0446429,8,0.0199649
133.2,0.0666667,8,0.0333333
133.3,0.025,8,0.0176777
133.4,0.025,8,0.025
133.5,0.0166667,8,0.0117851
133.9,0.0714286,8,0.0252538
134.5,0.0267857,8,0.0154647
134.6,0.0166667,8,0.0166667
136.1,0.0416667,8,0.0186339
137.8,0.0333333,8,0.0166667
142.8,0.025,8,0.0144338
143.7,0.05,8,0.0288675
144,0.0384615,8,0.0271964
147.1,0.05,8,0.0288675
147.2,0.0166667,8,0.0117851
148.3,0.0178571,8,0.0178571
148.4,0.05,8,0.0288675
149.5,0.0625,8,0.0236228
150.5,0.0535714,8,0.0309295
151.2,0.0333333,8,0.0235702
152.1,0.0416667,8,0.0186339
161.9,0.0357143,8,0.0178571
162,0.0166667,8,0.0117851
164.9,0.0535714,8,0.0309295
165.2,0.05,8,0.0288675
180,0.0375,8,0.0216506
