angle_deg,norm_counts,ex,ey
27.9,1.625,8,0.116369
28.8,1.36667,8,0.150923
29.5,1.01786,8,0.134818
30.2,2.36667,8,0.280872
30.5,1.21429,8,0.104124
31.6,1.05,8,0.132288
31.7,1.26786,8,0.150467
32.8,1.24167,8,0.101721
32.9,1.31667,8,0.148137
36,0.942308,8,0.134615
36.3,1.45,8,0.155456
37.2,1.175,8,0.0989529
42.2,1.18333,8,0.0993031
43.9,1.225,8,0.101036
45.4,0.966667,8,0.12693
45.5,1.14286,8,0.101015
46.1,0.982143,8,0.0936436
46.5,1.09167,8,0.0953794
46.6,0.725,8,0.134629
46.7,0.925,8,0.107529
46.8,1.23333,8,0.143372
48.2,1.04464,8,0.0965773
50.7,1.25,8,0.25
50.8,1.325,8,0.182003
51.9,0.8,8,0.141421
52,1,8,0.111803
54,1,8,0.0944911
54.6,1.1,8,0.135401
58.3,1.03571,8,0.135996
58.6,0.866667,8,0.0849837
58.9,1.36667,8,0.213437
59.5,0.85,8,0.0841625
60,0.942308,8,0.134615
60.5,0.839286,8,0.122422
60.6,0.825,8,0.0829156
60.8,1.225,8,0.175
60.9,0.9125,8,0.1068
61,1,8,0.129099
62.7,0.910714,8,0.0901742
63.4,0.84,8,0.0748331
64.6,0.939655,8,0.0636415
69.2,0.783333,8,0.0807947
69.9,0.764706,8,0.080163
70,2,8,1.41421
71.9,0.716667,8,0.109291
72,0.846154,8,0.127562
73.5,0.866071,8,0.0879362
74.2,0.857143,8,0.0874818
74.4,0.891667,8,0.0862007
74.9,0.767857,8,0.117097
75,0.775,8,0.0803638
75.4,0.841667,8,0.083749
75.6,0.883333,8,0.121335
77.2,0.875,8,0.0853913
78.6,0.891667,8,0.0862007
79.4,0.910891,8,0.094967
79.5,1.05263,8,0.235376
80.3,0.785714,8,0.0837574
82.6,0.875,8,0.061413
83.7,1.18333,8,0.140436
87.1,0.875,8,0.0853913
87.7,0.9,8,0.15
87.8,0.9375,8,0.108253
88.5,0.791667,8,0.0812233
88.9,0.95,8,0.217945
89,0.875,8,0.147902
90,0.902062,8,0.0482172
91,0.95,8,0.15411
91.1,0.65,8,0.180278
91.5,0.875,8,0.0853913
92.2,0.9375,8,0.108253
92.3,0.8,8,0.141421
92.9,0.941667,8,0.0885845
96.3,0.766667,8,0.113039
97.4,0.883621,8,0.0617147
99.7,0.883929,8,0.0888382
100.5,0.578947,8,0.174559
100.6,0.821782,8,0.0902023
101.4,0.933333,8,0.0881917
102.8,0.891667,8,0.0862007
104.4,0.85,8,0.119024
104.6,1,8,0.0912871
105,0.866667,8,0.0849837
105.1,0.982143,8,0.132432
105.6,0.816667,8,0.0824958
105.8,0.892857,8,0.0892857
106.5,1.08036,8,0.0982143
108,0.692308,8,0.115385
108.1,0.9,8,0.122474
110,1,8,1
110.1,1.05882,8,0.0943275
110.8,0.866667,8,0.0849837
115.4,0.87069,8,0.0612615
116.6,0.733333,8,0.0699206
117.3,0.616071,8,0.0741663
119,0.766667,8,0.113039
119.1,0.925,8,0.107529
119.2,0.775,8,0.139194
119.4,0.8,8,0.0816497
119.5,1.03571,8,0.135996
120,0.692308,8,0.115385
120.5,0.783333,8,0.0807947
121.1,0.933333,8,0.176383
121.4,0.691667,8,0.0759203
121.7,0.803571,8,0.119789
125.4,0.866667,8,0.120185
126,0.866071,8,0.0879362
128,0.775,8,0.0984251
128.1,0.75,8,0.136931
129.2,0.675,8,0.129904
129.3,1.05,8,0.229129
131.8,0.883929,8,0.0888382
133.2,0.9,8,0.122474
133.3,0.625,8,0.0883883
133.4,0.825,8,0.143614
133.5,0.791667,8,0.0812233
133.9,0.785714,8,0.0837574
134.5,0.892857,8,0.0892857
134.6,0.866667,8,0.120185
136.1,0.716667,8,0.0772802
137.8,0.875,8,0.0853913
142.8,0.866667,8,0.0849837
143.7,0.85,8,0.119024
144,0.788462,8,0.123137
147.1,0.7,8,0.108012
147.2,0.866667,8,0.0849837
148.3,0.964286,8,0.131223
148.4,0.916667,8,0.123603
149.5,0.8125,8,0.0851731
149.8,0.766667,8,0.159861
150.5,0.625,8,0.105644
151.2,0.833333,8,0.117851
152.1,0.891667,8,0.0862007
160.6,0.75,8,0.111803
161.9,0.892857,8,0.0892857
162,0.758333,8,0.0794949
163.4,0.933333,8,0.124722
164.9,0.910714,8,0.127526
165.2,0.933333,8,0.124722
180,0.8375,8,0.102317
