angle_deg,norm_counts,ex,ey
40,141.52,8,0.558317
48,138.427,8,0.397519
56,134.096,8,0.503003
64,132.62,8,0.390431
72,131.05,8,0.352948
80,129.325,8,0.411428
88,129.32,8,0.361788
96,129.171,8,0.447857
104,129.934,8,0.345261
112,131.334,8,0.486893
120,132.631,8,0.364915
128,136.19,8,0.541768
136,138.273,8,0.409643
144,141.068,8,0.585148
152,142.889,8,0.537818
160,147.818,8,0.648026
