angle: 142.8, count: 3329, normalized count: 27.741666666666667
angle: 143.7, count: 1624, normalized count: 27.066666666666666
angle: 144.0, count: 1668, normalized count: 32.07692307692308
angle: 147.1, count: 1609, normalized count: 26.816666666666666
angle: 147.2, count: 3265, normalized count: 27.208333333333332
angle: 148.3, count: 1724, normalized count: 37.47826086956522
angle: 148.4, count: 1804, normalized count: 30.066666666666666
angle: 149.5, count: 3518, normalized count: 31.410714285714285
angle: 149.8, count: 825, normalized count: 27.5
angle: 150.5, count: 1660, normalized count: 29.642857142857142
angle: 151.2, count: 1619, normalized count: 32.38
angle: 152.1, count: 3475, normalized count: 28.958333333333332
angle: 160.6, count: 1752, normalized count: 29.2
angle: 161.9, count: 3419, normalized count: 30.52678571428571
angle: 162.0, count: 3444, normalized count: 28.7
angle: 163.4, count: 1641, normalized count: 32.82
angle: 164.9, count: 1781, normalized count: 31.803571428571427
angle: 165.2, count: 1640, normalized count: 27.333333333333332
